KODE, NAMA PRODUK, KODE GENUS, KONDISI, GRADE, QTY PANEN, ALOKASI, TERDISTRIBUSI, QTY, ESTIMASI BULAN PANEN, STATUS
AD1564, Den. lasianthera var. Sepik Blue, AD, Pembesaran Seedling, -, 527, 100, 0, 427, April 2027, Belum
AD1565, Den. Black Bull x Den. Tabitha, AD, Pembesaran Seedling, -, 298, 100, 0, 198, April 2027, Belum
ADB131, Den. affine x Den. calophyllum, ADB, Pembesaran Seedling, -, 623, 100, 0, 523, April 2027, Belum
AD1553, Den. Brown Gloss x Selfing, AD, Pembesaran Seedling, -, 330, 100, 0, 230, April 2027, Belum
AD1581, Den. spectabile x Den. Thongchai, AD, Pembesaran Seedling, -, 616, 100, 0, 516, April 2027, Belum
AD1584, Den. larat x Den. macrophyllum 'Jawa', AD, Pembesaran Seedling, -, 618, 100, 0, 518, April 2027, Belum
AD1551, Den. Henry Eksan x Den. Husmadi, AD, Pembesaran Seedling, -, 125, 100, 0, 25, April 2027, Belum
ADB129, Den. Bhayangkara Jaya x Den. Liberty, ADB, Pembesaran Seedling, -, 768, 100, 0, 668, April 2027, Belum
AD1524, Den. Husmadi x Den. violaceoflavens 'Mini', AD, Pembesaran Seedling, -, 290, 100, 0, 190, April 2027, Belum
AD1540, Den. Indirawati x Den. Kuranda Giant 'White', AD, Pembesaran Seedling, -, 265, 100, 0, 165, April 2027, Belum
